kmer,hubness,count,k,community
OXIDOREDUCTASE ACTIVITY ACTING,0.003523454182783758,33,3,1
ACTIVITY ACTING CH,0.002292864412248614,11,3,1
NAD P H,0.0061864971721279785,7,3,1
ACTING PAIRED DONORS,0.004707565535304221,7,3,1
ACTIVITY ACTING PAIRED,0.004707565535304221,7,3,1
REDUCTION MOLECULAR OXYGEN,0.004707565535304221,7,3,1
DONORS INCORPORATION REDUCTION,0.005431471599798149,6,3,1
INCORPORATION REDUCTION MOLECULAR,0.005431471599798149,6,3,1
PAIRED DONORS INCORPORATION,0.005431471599798149,6,3,1
ACTING NAD P,0.007285976901498426,5,3,1
CELLULAR RESPONSE HEAT,0.023462631363738023,3,3,2
CELLULAR RESPONSE,0.020728311323358454,4,2,2
RESPONSE HEAT,0.023462631363738023,3,2,2
NUCLEAR PORE,0.016874389261507628,3,2,2
SUMOYLATION DNA,0.015636284521271502,3,2,2
METABOLIC PROCESS,0.0062801183259873885,3,2,2
PRE MRNA,0.006108141113756085,3,2,2
6 PHOSPHATE,0.0003624087491006629,3,2,2
BINDING,0.003298503991422268,11,1,2
ACTIVITY,0.0010245919567592272,11,1,2
ACYL CHAIN REMODELLING,0.009776547234622016,5,3,3
COA LIGASE ACTIVITY,0.00043361421503431525,5,3,3
PHOSPHOLIPASE A2 ACTIVITY,0.00828024302324026,4,3,3
SERINE THREONINE PHOSPHATASE,0.0033182426958842056,4,3,3
THREONINE PHOSPHATASE ACTIVITY,0.0033182426958842056,4,3,3
ACTING CARBON NITROGEN,0.0004170814512466991,4,3,3
ACTIVITY ACTING CARBON,0.0004170814512466991,4,3,3
CARBON NITROGEN PEPTIDE,0.0004170814512466991,4,3,3
HYDROLASE ACTIVITY ACTING,0.0004170814512466991,4,3,3
NITROGEN PEPTIDE BONDS,0.0004170814512466991,4,3,3
RNA POLYMERASE II,0.009608362488042832,7,3,4
RNA POLYMERASE III,0.0032433399811326136,7,3,4
SINGLE STRANDED DNA,0.0023945333858208973,6,3,4
NUCLEOTIDE EXCISION REPAIR,0.022711824769247317,4,3,4
PRODUCING 5 PHOSPHOMONOESTERS,0.004331207890578583,4,3,4
POLYMERASE III TRANSCRIPTION,0.003656179203703945,4,3,4
BASE EXCISION REPAIR,0.006334643727949328,3,3,4
ACTIVE EITHER RIBO,0.004550214256194962,3,3,4
ACTIVITY ACTIVE EITHER,0.004550214256194962,3,3,4
DEOXYRIBONUCLEIC ACIDS PRODUCING,0.004550214256194962,3,3,4
RNA BINDING,0.005641939379294257,9,2,5
POSITIVE REGULATION,0.0005256290193752748,5,2,5
FACTOR ACTIVITY,0.004763502233450478,4,2,5
RRNA BINDING,0.004434581472135762,4,2,5
MRNA BINDING,0.0021238064757134897,4,2,5
SNRNA BINDING,0.0005900442461061866,4,2,5
TRANSLATION INITIATION,0.018835036840279245,3,2,5
STRUCTURAL CONSTITUENT,0.014449574230115468,3,2,5
REGULATOR ACTIVITY,0.00792356581407252,3,2,5
CAP BINDING,0.007224586690141597,3,2,5
TRANSFERASE ACTIVITY TRANSFERRING,0.021945518255537495,4,3,6
BETA 1 3,0.0038263286840023365,3,3,6
BIOSYNTHETIC PROCESS,0.015213806271960548,8,2,6
METABOLIC PROCESS,0.005030564878009296,8,2,6
N GLYCAN,0.006674213978634865,7,2,6
TRANSFERASE ACTIVITY,0.017971846026044614,5,2,6
HEPARAN SULFATE,0.008654046572863928,5,2,6
GALACTOSYLTRANSFERASE ACTIVITY,0.006761609022793738,5,2,6
SULFOTRANSFERASE ACTIVITY,0.004347362775254201,5,2,6
CATABOLIC PROCESS,0.004002641084269273,5,2,6
DNA HELICASE ACTIVITY,0.009824320585389517,6,3,7
ATPASE ACTIVITY COUPLED,0.03612939349572972,4,3,7
MICROTUBULE MOTOR ACTIVITY,0.013195415879995351,4,3,7
ATP DEPENDENT MICROTUBULE,0.010268815162726994,3,3,7
DEPENDENT MICROTUBULE MOTOR,0.010268815162726994,3,3,7
HELICASE ACTIVITY,0.01354937978277372,12,2,7
ATPASE ACTIVITY,0.028427860505662973,10,2,7
ATP DEPENDENT,0.008608204814830107,7,2,7
DNA BINDING,0.0017769660608305854,7,2,7
MOTOR ACTIVITY,0.013567022751912365,6,2,7
MEDIATED DEGRADATION,0.011685994394310804,4,2,8
ANTIGEN PROCESSING,0.008848725985322117,4,2,8
CATABOLIC PROCESS,0.0063054849936725575,4,2,8
NF KB,0.010826756008850788,3,2,8
INTERLEUKIN 1,0.009969589507455051,3,2,8
CELL DIFFERENTIATION,0.009882380750119048,3,2,8
CELL CYCLE,0.008448068046864076,3,2,8
REGULATION CELLULAR,0.008043130249668228,3,2,8
REGULATION,0.009281610446485266,23,1,8
SIGNALING,0.009786740668773925,17,1,8
DENSITY LIPOPROTEIN PARTICLE,0.0024304561431463473,9,3,9
LOW DENSITY LIPOPROTEIN,0.0025167303073080874,8,3,9
LIPOPROTEIN PARTICLE RECEPTOR,0.0026350579531340987,5,3,9
LIPOPROTEIN PARTICLE CLEARANCE,0.002191554252131946,5,3,9
LIPID METABOLIC PROCESS,0.014614391839870327,4,3,9
REGULATION LIPID TRANSPORT,0.01404447538870888,3,3,9
REGULATION LIPID METABOLIC,0.013631337798885557,3,3,9
POSITIVE REGULATION LIPID,0.013151798178082187,3,3,9
NEGATIVE REGULATION LIPID,0.009826899392985556,3,3,9
LIPID CATABOLIC PROCESS,0.00980327197540472,3,3,9
LIGAND BINDING ACTIVATION,0.004356218307504844,8,3,10
PHOSPHATIDYLINOSITOL 3 KINASE,0.0008865931018033259,5,3,10
DOWNSTREAM SIGNALING ACTIVATED,0.010605357247705699,4,3,10
FIBROBLAST GROWTH FACTOR,0.004804123989890929,4,3,10
FACTOR RECEPTOR BINDING,0.004575661680706904,4,3,10
GROWTH FACTOR RECEPTOR,0.004575661680706904,4,3,10
EVENTS ERBB2 SIGNALING,0.0026119852889750837,4,3,10
PI3K AKT SIGNALING,0.005678083893753776,3,3,10
ACTIVATED NTRK2 SIGNALS,0.0026514298924291252,3,3,10
SIGNALING PATHWAY,0.0049383454738086445,10,2,10
TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0028548216018100766,101,3,11
CARDIAC MUSCLE CELL,0.0015683338788024916,15,3,11
ACID TRANSMEMBRANE TRANSPORTER,0.0026006607201421793,14,3,11
ION TRANSMEMBRANE TRANSPORTER,0.006072817113868104,12,3,11
ION CHANNEL ACTIVITY,0.003435175449323234,11,3,11
POTASSIUM CHANNEL ACTIVITY,0.0045015931314217605,8,3,11
GATED ION CHANNEL,0.004472818765976554,8,3,11
SODIUM SYMPORTER ACTIVITY,0.0026294367897048876,7,3,11
AMINO ACID TRANSMEMBRANE,0.0024712219265199606,7,3,11
CATION CHANNEL ACTIVITY,0.0057433410440151066,6,3,11
CHEMOKINE RECEPTOR BINDING,0.0015243978128995984,8,3,12
RECEPTOR SIGNALING PATHWAY,0.004309510462333926,6,3,12
ANTIGEN PROCESSING PRESENTATION,0.0009074556597270321,5,3,12
MHC CLASS II,0.0005087511115250138,5,3,12
POSITIVE REGULATION CELL,0.014020356571824363,4,3,12
REGULATION DEFENSE RESPONSE,0.007677329369698418,4,3,12
REGULATION ANTIGEN PROCESSING,0.0005453030091731979,4,3,12
REGULATION CYTOKINE PRODUCTION,0.012294879467203798,3,3,12
REGULATION CELL ACTIVATION,0.011541715328473166,3,3,12
NEGATIVE REGULATION CELL,0.007796986754870768,3,3,12
DEPENDENT PROTEIN KINASE,0.0019517559754269921,4,3,13
G PROTEIN BETA,0.008895498043878168,3,3,13
CAMP DEPENDENT PROTEIN,0.0019438328011023836,3,3,13
G PROTEIN,0.012463447710751642,8,2,13
PROTEIN KINASE,0.0017939683182922157,7,2,13
INSULIN SECRETION,0.013412421787560053,6,2,13
ADENYLATE CYCLASE,0.00551377958105934,5,2,13
DEPENDENT PROTEIN,0.0019517559754269921,4,2,13
BETAGAMMA SIGNALLING,0.019033314626735354,3,2,13
PROTEIN BETA,0.008895498043878168,3,2,13
G PROTEIN COUPLED,0.01160394479817109,11,3,14
RECEPTOR SIGNALING PATHWAY,0.009899548143380982,6,3,14
ARTERIAL BLOOD PRESSURE,0.00208510891464213,6,3,14
REGULATION SYSTEMIC ARTERIAL,0.00208510891464213,6,3,14
SYSTEMIC ARTERIAL BLOOD,0.00208510891464213,6,3,14
PROTEIN COUPLED RECEPTOR,0.01875230648649843,4,3,14
LIGAND BINDING RECEPTORS,0.015215136136135997,4,3,14
NEUROTRANSMITTER RECEPTOR ACTIVITY,0.010267134563371229,4,3,14
RECEPTOR ACTIVITY,0.0072064756463633165,40,2,14
G PROTEIN,0.010928635142764827,12,2,14
REGULATION CELL CYCLE,0.005124603241244985,4,3,15
TP53 REGULATES TRANSCRIPTION,0.0010588777465255672,4,3,15
GOLGI ER RETROGRADE,0.017432024367864934,3,3,15
VESICLE MEDIATED TRANSPORT,0.012743629922374966,3,3,15
CELL CYCLE,0.005117820729479792,13,2,15
PLASMA MEMBRANE,0.009902145297169642,7,2,15
GAP JUNCTION,0.004399709374793464,5,2,15
REGULATION CELL,0.00416459993334197,5,2,15
GOLGI ER,0.018020073852029826,4,2,15
MITOTIC SPINDLE,0.00525127527736614,4,2,15
APOPTOTIC SIGNALING PATHWAY,0.032820549350160586,7,3,16
TP53 REGULATES TRANSCRIPTION,0.0062542776433170705,5,3,16
ENDOPLASMIC RETICULUM STRESS,0.013208993069487023,4,3,16
RESPONSE ENDOPLASMIC RETICULUM,0.013208993069487023,4,3,16
INTRINSIC APOPTOTIC SIGNALING,0.030338264017067098,3,3,16
UNFOLDED PROTEIN RESPONSE,0.022240478686654536,3,3,16
CASPASE ACTIVATION VIA,0.006783234621045364,3,3,16
PROGRAMMED CELL DEATH,0.002977615242545254,3,3,16
RESPONSE OSMOTIC STRESS,0.002177588776651682,3,3,16
SIGNALING PATHWAY,0.025577984093023465,10,2,16
UBIQUITIN LIKE PROTEIN,0.015598656575035614,6,3,17
DEPENDENT PROTEIN BINDING,0.0020404905059143064,5,3,17
MODIFICATION DEPENDENT PROTEIN,0.0020404905059143064,5,3,17
SPECIFIC PROTEASE ACTIVITY,0.023692527738729457,3,3,17
POLYUBIQUITIN MODIFICATION DEPENDENT,0.002332899248129407,3,3,17
PROTEIN BINDING,0.0025851435686127253,7,2,17
LIKE PROTEIN,0.015598656575035614,6,2,17
UBIQUITIN LIKE,0.015598656575035614,6,2,17
DEPENDENT PROTEIN,0.0020404905059143064,5,2,17
MODIFICATION DEPENDENT,0.0020404905059143064,5,2,17
REGULATION SYNAPTIC VESICLE,0.01572617169081011,6,3,18
NEUROTRANSMITTER RELEASE CYCLE,0.004906142960936729,5,3,18
REGULATION NEUROTRANSMITTER TRANSPORT,0.019940591999029453,3,3,18
REGULATION INTRACELLULAR TRANSPORT,0.01947544808710103,3,3,18
SYNAPTIC VESICLE TRANSPORT,0.016600663192967092,3,3,18
REGULATION HORMONE SECRETION,0.014614131519654778,3,3,18
ORGANIC ACID TRANSPORT,0.005045228395428547,3,3,18
REGULATION ORGANIC ACID,0.005045228395428547,3,3,18
POSITIVE REGULATION SYNAPTIC,0.003174115414736995,3,3,18
DEPENDENT PROTEIN BINDING,0.0017625859031198572,3,3,18
HOST VIRAL PROCESS,0.001918889784534637,3,3,19
VIRAL PROCESS,0.0027898934536417863,4,2,19
HOST VIRAL,0.0019906531784675986,4,2,19
POSITIVE REGULATION,0.011022031824683526,3,2,19
REGULATION VIRAL,0.007541095796415789,3,2,19
LYSOSOME TRANSPORT,0.007139180639903916,3,2,19
VIRAL,0.005200645477668279,10,1,19
TRANSPORT,0.010883085163098313,9,1,19
REGULATION,0.010040481663339625,9,1,19
HOST,0.004184642099937328,7,1,19
GROWTH FACTOR BETA,0.0019968699220261283,11,3,20
TRANSFORMING GROWTH FACTOR,0.0019968699220261283,11,3,20
FACTOR BETA RECEPTOR,0.0014263463801454342,7,3,20
CELL FATE COMMITMENT,0.0016641778490445482,6,3,20
MUSCLE CELL DIFFERENTIATION,0.006195807706865763,5,3,20
EPITHELIAL CELL DIFFERENTIATION,0.0029861436076563,5,3,20
CELL DIFFERENTIATION INVOLVED,0.0036792135440626454,4,3,20
REGULATION CELLULAR RESPONSE,0.002710553597193966,4,3,20
SMOOTH MUSCLE CELL,0.0022882885464005505,4,3,20
APOPTOTIC PROCESS INVOLVED,0.0016404948883192024,4,3,20
RHO GTPASES ACTIVATE,0.0015005792135445036,6,3,21
NERVOUS SYSTEM DEVELOPMENT,0.0301713235196287,3,3,21
REGULATION NERVOUS SYSTEM,0.0301713235196287,3,3,21
REGULATION CELLULAR COMPONENT,0.024719532244957904,3,3,21
REGULATION CELL PROJECTION,0.016734789476802008,3,3,21
REGULATION CELL,0.02172610060037108,12,2,21
POSITIVE REGULATION,0.020500276630923787,7,2,21
NEGATIVE REGULATION,0.018153393888804655,6,2,21
GTPASES ACTIVATE,0.0015005792135445036,6,2,21
RHO GTPASES,0.0015005792135445036,6,2,21
GROWTH FACTOR BINDING,0.004561812940156123,5,3,22
ENDOCHONDRAL BONE MORPHOGENESIS,0.010991165749169295,4,3,22
INVOLVED ENDOCHONDRAL BONE,0.01036205857770501,3,3,22
INSULIN LIKE GROWTH,0.0016193446467710206,3,3,22
LIKE GROWTH FACTOR,0.0016193446467710206,3,3,22
EXTRACELLULAR MATRIX,0.032645755302775414,7,2,22
GROWTH FACTOR,0.003839499742196186,6,2,22
FACTOR BINDING,0.004561812940156123,5,2,22
BONE MORPHOGENESIS,0.010991165749169295,4,2,22
ENDOCHONDRAL BONE,0.010991165749169295,4,2,22
CELL CELL ADHESION,0.01434224657487704,6,3,23
ADHESION VIA PLASMA,0.025880771012225863,4,3,23
CELL ADHESION VIA,0.025880771012225863,4,3,23
VIA PLASMA MEMBRANE,0.025880771012225863,4,3,23
CELL JUNCTION ORGANIZATION,0.09434943291892833,3,3,23
CELL ADHESION MOLECULES,0.025117830214509845,3,3,23
MEMBRANE CELL ADHESION,0.025117830214509845,3,3,23
PLASMA MEMBRANE CELL,0.025117830214509845,3,3,23
CELL ADHESION,0.017773976288016514,11,2,23
CELL CELL,0.04233283818738661,9,2,23
REGULATION RESPONSE WOUNDING,0.0010505510071998128,3,3,24
FIBRIN CLOT FORMATION,0.0004722164965290406,3,3,24
PATHWAY FIBRIN CLOT,0.0004722164965290406,3,3,24
FIBRIN CLOT,0.0005552638620712574,5,2,24
REGULATION RESPONSE,0.0010505510071998128,3,2,24
RESPONSE WOUNDING,0.0010505510071998128,3,2,24
POSITIVE REGULATION,0.0006597670925798086,3,2,24
CLOT FORMATION,0.0004722164965290406,3,2,24
PATHWAY FIBRIN,0.0004722164965290406,3,2,24
REGULATION,0.012686876420575302,10,1,24
TOLL LIKE RECEPTOR,0.03607118563323052,6,3,25
TGF BETA RECEPTOR,0.004040822884847769,4,3,25
LIKE RECEPTOR SIGNALING,0.012222113657348663,3,3,25
RECEPTOR SIGNALING PATHWAY,0.012222113657348663,3,3,25
BETA RECEPTOR SIGNALING,0.0038590587248069296,3,3,25
ACTIVATION TRANSMISSION SIGNAL,0.0029999172504146733,3,3,25
TRANSMISSION SIGNAL NUCLEUS,0.0029999172504146733,3,3,25
LIKE RECEPTOR,0.03250630696263034,7,2,25
RECEPTOR SIGNALING,0.00732799256131536,7,2,25
TOLL LIKE,0.03607118563323052,6,2,25
TRANSCRIPTION FACTOR BINDING,0.012733837931603618,9,3,26
RNA POLYMERASE II,0.007595824415626041,9,3,26
SPECIFIC DNA BINDING,0.010436573284737969,7,3,26
RECEPTOR SIGNALING PATHWAY,0.009639055866146435,6,3,26
SEQUENCE SPECIFIC DNA,0.008159853389035429,6,3,26
DNA BINDING TRANSCRIPTION,0.016589132736331634,5,3,26
HORMONE RECEPTOR BINDING,0.018568907281305967,4,3,26
REGION DNA BINDING,0.0016141545365805344,4,3,26
REGULATORY REGION DNA,0.0016141545365805344,4,3,26
FOXO MEDIATED TRANSCRIPTION,0.0015300428075246627,4,3,26
DNA DOUBLE STRAND,0.009257484809998032,3,3,27
DOUBLE STRAND BREAK,0.009257484809998032,3,3,27
RRNA EXPRESSION,0.016729865122683596,4,2,27
EPIGENETIC REGULATION,0.01590197747040062,3,2,27
TRANSCRIPTIONAL REGULATION,0.015336633806245323,3,2,27
GENE EXPRESSION,0.013119280424673113,3,2,27
DNA DOUBLE,0.009257484809998032,3,2,27
DOUBLE STRAND,0.009257484809998032,3,2,27
STRAND BREAK,0.009257484809998032,3,2,27
DNA,0.010420412027752422,11,1,27
CARBOHYDRATE METABOLIC PROCESS,0.07456212244132178,3,3,28
METABOLIC PROCESS,0.09295118252438882,5,2,28
BIOSYNTHETIC PROCESS,0.11258904899176714,3,2,28
CELLULAR CARBOHYDRATE,0.08654273763647045,3,2,28
CARBOHYDRATE METABOLIC,0.07456212244132178,3,2,28
REGULATION CARBOHYDRATE,0.07400564983722542,3,2,28
REGULATION CELLULAR,0.04542708844846242,3,2,28
PROCESS,0.08679603084079511,10,1,28
REGULATION,0.05631849442751656,7,1,28
CARBOHYDRATE,0.08027419373684794,6,1,28
EXCHANGE FACTOR ACTIVITY,0.01577142787600018,8,3,29
NUCLEOTIDE EXCHANGE FACTOR,0.01577142787600018,8,3,29
GUANYL NUCLEOTIDE EXCHANGE,0.017917398419717675,7,3,29
PROTEIN SERINE THREONINE,0.0033406672737704246,6,3,29
KINASE ACTIVATOR ACTIVITY,0.004723939900449266,5,3,29
SERINE THREONINE KINASE,0.0037385853592727634,5,3,29
CYSTEINE TYPE ENDOPEPTIDASE,0.0054852514486813785,4,3,29
ACTIVITY INVOLVED APOPTOTIC,0.003906396058690339,4,3,29
INVOLVED APOPTOTIC PROCESS,0.003906396058690339,4,3,29
ENDOPEPTIDASE INHIBITOR ACTIVITY,0.009335516887254548,3,3,29
LIGHT STIMULUS,0.09016431265358481,4,2,30
CELLULAR RESPONSE,0.08330217873612022,4,2,30
RESPONSE,0.05916500744677467,7,1,30
LIGHT,0.08050652981394883,6,1,30
ACTIVITY,0.011020622616750053,6,1,30
STIMULUS,0.07254802625167231,5,1,30
CELLULAR,0.08330217873612022,4,1,30
CYCLASE,0.007106173608310308,4,1,30
DETECTION,0.08623010236560213,3,1,30
PHOTOTRANSDUCTION,0.06526217808273582,3,1,30
RESPONSE OXIDATIVE STRESS,0.059043591648867785,5,3,31
REGULATION CELLULAR RESPONSE,0.0218729068297049,5,3,31
RESPONSE HYDROGEN PEROXIDE,0.0732085597052486,3,3,31
REGULATION RESPONSE OXIDATIVE,0.05226528525382166,3,3,31
CELLULAR RESPONSE DRUG,0.03475637349982348,3,3,31
CELLULAR RESPONSE,0.03682691647630386,13,2,31
NEGATIVE REGULATION,0.025274757865609607,6,2,31
OXIDATIVE STRESS,0.059043591648867785,5,2,31
RESPONSE OXIDATIVE,0.059043591648867785,5,2,31
REGULATION CELLULAR,0.0218729068297049,5,2,31
N ACETYLTRANSFERASE ACTIVITY,0.0955070530474473,4,3,32
ACETYLTRANSFERASE ACTIVITY,0.09185901807327378,7,2,32
N ACETYLTRANSFERASE,0.0955070530474473,4,2,32
SURFACTANT METABOLISM,3.708460802939658e-05,3,2,32
ACTIVITY,0.0908679747149901,11,1,32
ACETYLTRANSFERASE,0.09185901807327378,7,1,32
N,0.11547661598658247,5,1,32
METABOLISM,3.708460802939658e-05,3,1,32
SURFACTANT,3.708460802939658e-05,3,1,32
HISTONE METHYLTRANSFERASE ACTIVITY,0.022432714638628393,6,3,33
N METHYLTRANSFERASE ACTIVITY,0.0537576492545583,5,3,33
METHYLTRANSFERASE ACTIVITY H3,0.01332161657316015,4,3,33
METHYLTRANSFERASE ACTIVITY,0.028170098765505584,26,2,33
HISTONE METHYLTRANSFERASE,0.022432714638628393,6,2,33
N METHYLTRANSFERASE,0.0537576492545583,5,2,33
ACTIVITY H3,0.01332161657316015,4,2,33
RNA POLYMERASE,0.0011184294278268087,4,2,33
ACTIVITY,0.029605021094271752,29,1,33
METHYLTRANSFERASE,0.028170098765505584,26,1,33
PROTEIN KINASE ACTIVITY,0.07582378996087982,5,3,34
PROTEIN TYROSINE KINASE,0.14072450410873677,3,3,34
TYROSINE KINASE ACTIVITY,0.14072450410873677,3,3,34
DEPENDENT PROTEIN KINASE,0.015817515832146075,3,3,34
KINASE ACTIVITY,0.07944036932773592,12,2,34
PROTEIN KINASE,0.06497718779301156,6,2,34
KINASE KINASE,0.013065311661001371,4,2,34
PROTEIN TYROSINE,0.14072450410873677,3,2,34
TYROSINE KINASE,0.14072450410873677,3,2,34
DEPENDENT PROTEIN,0.015817515832146075,3,2,34
DOMAIN BINDING,0.17579988413160044,4,2,35
BINDING,0.1645742714899368,6,1,35
DOMAIN,0.1645742714899368,6,1,35
